day_of_week,Hour_Pres,Count,Average
Friday,00:00,117719,322.5178082191781
Friday,01:00,32308,88.51506849315068
Friday,02:00,26753,73.2958904109589
Friday,03:00,23424,64.17534246575343
Friday,04:00,26756,73.30410958904109
Friday,05:00,49762,136.33424657534246
Friday,06:00,104561,286.46849315068494
Friday,07:00,236212,647.1561643835616
Friday,08:00,215132,589.4027397260274
Friday,09:00,226094,619.4356164383562
Friday,10:00,207809,569.3397260273972
Friday,11:00,204249,559.586301369863
Friday,12:00,204686,560.7835616438356
Friday,13:00,197174,540.2027397260274
Friday,14:00,196196,537.5232876712329
Friday,15:00,201066,550.8657534246576
Friday,16:00,221828,607.7479452054795
Friday,17:00,243756,667.8246575342466
Friday,18:00,291007,797.2794520547945
Friday,19:00,152346,417.386301369863
Friday,20:00,161334,442.0109589041096
Friday,21:00,97916,268.2630136986301
Friday,22:00,99030,271.3150684931507
Friday,23:00,89061,244.0027397260274
Monday,00:00,98966,271.1397260273973
Monday,01:00,23642,64.77260273972603
Monday,02:00,20466,56.07123287671233
Monday,03:00,19237,52.704109589041096
Monday,04:00,22210,60.84931506849315
Monday,05:00,42498,116.43287671232876
Monday,06:00,89536,245.3041095890411
Monday,07:00,213841,585.8657534246576
Monday,08:00,200938,550.5150684931507
Monday,09:00,213550,585.068493150685
Monday,10:00,191885,525.7123287671233
Monday,11:00,183723,503.35068493150686
Monday,12:00,183651,503.15342465753423
Monday,13:00,180384,494.2027397260274
Monday,14:00,174084,476.94246575342464
Monday,15:00,172773,473.35068493150686
Monday,16:00,189921,520.331506849315
Monday,17:00,224342,614.6356164383561
Monday,18:00,246262,674.6904109589041
Monday,19:00,127839,350.24383561643833
Monday,20:00,137909,377.8328767123288
Monday,21:00,81335,222.83561643835617
Monday,22:00,67072,183.75890410958905
Monday,23:00,53733,147.21369863013695
Saturday,00:00,153126,419.5232876712329
Saturday,01:00,51294,140.53150684931506
Saturday,02:00,42117,115.3890410958904
Saturday,03:00,36974,101.2986301369863
Saturday,04:00,33449,91.64109589041097
Saturday,05:00,36829,100.9013698630137
Saturday,06:00,60486,165.71506849315068
Saturday,07:00,136798,374.7890410958904
Saturday,08:00,114258,313.03561643835616
Saturday,09:00,146836,402.2904109589041
Saturday,10:00,166452,456.0328767123288
Saturday,11:00,174028,476.7890410958904
Saturday,12:00,215341,589.9753424657534
Saturday,13:00,177832,487.2109589041096
Saturday,14:00,166294,455.6
Saturday,15:00,158624,434.586301369863
Saturday,16:00,154288,422.7068493150685
Saturday,17:00,170036,465.8520547945205
Saturday,18:00,210326,576.2356164383561
Saturday,19:00,126436,346.4
Saturday,20:00,146139,400.3808219178082
Saturday,21:00,81542,223.4027397260274
Saturday,22:00,91533,250.77534246575345
Saturday,23:00,85442,234.08767123287672
Sunday,00:00,160634,440.0931506849315
Sunday,01:00,49916,136.75616438356164
Sunday,02:00,44835,122.83561643835615
Sunday,03:00,43166,118.26301369863012
Sunday,04:00,36540,100.10958904109587
Sunday,05:00,35013,95.92602739726028
Sunday,06:00,42278,115.83013698630135
Sunday,07:00,88178,241.5835616438356
Sunday,08:00,84120,230.46575342465752
Sunday,09:00,115853,317.4054794520548
Sunday,10:00,134104,367.4082191780822
Sunday,11:00,135005,369.8767123287671
Sunday,12:00,140588,385.172602739726
Sunday,13:00,136217,373.1972602739726
Sunday,14:00,132814,363.8739726027397
Sunday,15:00,133378,365.41917808219176
Sunday,16:00,132076,361.8520547945205
Sunday,17:00,128722,352.6630136986301
Sunday,18:00,173652,475.758904109589
Sunday,19:00,88324,241.98356164383563
Sunday,20:00,77330,211.8630136986301
Sunday,21:00,67713,185.5150684931507
Sunday,22:00,61024,167.18904109589042
Sunday,23:00,51664,141.54520547945205
Thursday,00:00,105823,289.92602739726027
Thursday,01:00,27292,74.77260273972603
Thursday,02:00,22580,61.86301369863013
Thursday,03:00,20843,57.10410958904109
Thursday,04:00,24966,68.4
Thursday,05:00,49313,135.1041095890411
Thursday,06:00,103639,283.94246575342464
Thursday,07:00,239305,655.6301369863014
Thursday,08:00,221438,606.6794520547945
Thursday,09:00,236642,648.3342465753425
Thursday,10:00,210354,576.3123287671233
Thursday,11:00,204998,561.6383561643836
Thursday,12:00,206201,564.9342465753425
Thursday,13:00,199655,547.0
Thursday,14:00,195193,534.7753424657534
Thursday,15:00,196008,537.0082191780822
Thursday,16:00,217749,596.572602739726
Thursday,17:00,255141,699.0164383561644
Thursday,18:00,292177,800.4849315068493
Thursday,19:00,144471,395.8109589041096
Thursday,20:00,161300,441.9178082191781
Thursday,21:00,97437,266.9506849315068
Thursday,22:00,87280,239.12328767123287
Thursday,23:00,71732,196.52602739726024
Tuesday,00:00,93952,257.4027397260274
Tuesday,01:00,23124,63.35342465753425
Tuesday,02:00,19653,53.84383561643836
Tuesday,03:00,18185,49.821917808219176
Tuesday,04:00,22277,61.032876712328765
Tuesday,05:00,47306,129.6054794520548
Tuesday,06:00,100930,276.52054794520546
Tuesday,07:00,232618,637.3095890410959
Tuesday,08:00,214760,588.3835616438356
Tuesday,09:00,234858,643.4465753424657
Tuesday,10:00,211275,578.8356164383562
Tuesday,11:00,204437,560.1013698630137
Tuesday,12:00,204912,561.4027397260274
Tuesday,13:00,198685,544.3424657534247
Tuesday,14:00,191165,523.7397260273973
Tuesday,15:00,189944,520.3945205479451
Tuesday,16:00,207434,568.3123287671233
Tuesday,17:00,247198,677.254794520548
Tuesday,18:00,280122,767.4575342465754
Tuesday,19:00,140167,384.0191780821918
Tuesday,20:00,150453,412.2
Tuesday,21:00,89474,245.13424657534247
Tuesday,22:00,74512,204.14246575342463
Tuesday,23:00,59784,163.7917808219178
Wednesday,00:00,98733,270.5013698630137
Wednesday,01:00,24106,66.04383561643836
Wednesday,02:00,20452,56.032876712328765
Wednesday,03:00,18855,51.65753424657535
Wednesday,04:00,22362,61.26575342465753
Wednesday,05:00,46840,128.32876712328766
Wednesday,06:00,101709,278.654794520548
Wednesday,07:00,234021,641.1534246575343
Wednesday,08:00,214691,588.1945205479452
Wednesday,09:00,229698,629.3095890410959
Wednesday,10:00,203658,557.9671232876713
Wednesday,11:00,198310,543.3150684931506
Wednesday,12:00,199629,546.9287671232877
Wednesday,13:00,193305,529.6027397260274
Wednesday,14:00,190308,521.3917808219178
Wednesday,15:00,192608,527.6931506849315
Wednesday,16:00,215134,589.4082191780822
Wednesday,17:00,258731,708.8520547945205
Wednesday,18:00,302132,827.758904109589
Wednesday,19:00,150217,411.5534246575343
Wednesday,20:00,165371,453.0712328767123
Wednesday,21:00,97689,267.6410958904109
Wednesday,22:00,82867,227.0328767123288
Wednesday,23:00,66024,180.8876712328767
